cpf,nome,sexo,idade,renda,estado,email,id_tran,estabelecimento,valor,status,data,porcentagemGastos
755077935,WELINTOM,masculino,30,14915,RS,welintom3@hotmail.com,4998,ifood,79,aprovada,01/2020,0.53
755077935,WELINTOM,masculino,30,14915,RS,welintom3@hotmail.com,240,netflix,46,aprovada,03/2020,0.31
755077935,WELINTOM,masculino,30,14915,RS,welintom3@hotmail.com,3493,smart fit,201,aprovada,02/2020,1.35
755077935,WELINTOM,masculino,30,14915,RS,welintom3@hotmail.com,2753,uber,54,aprovada,05/2020,0.36
755077935,WELINTOM,masculino,30,14915,RS,welintom3@hotmail.com,2991,uber,6,aprovada,04/2020,0.04
755077935,WELINTOM,masculino,30,14915,RS,welintom3@hotmail.com,3682,zara,879,aprovada,04/2020,5.89
755077935,WELINTOM,masculino,30,14915,RS,welintom3@hotmail.com,3964,zara,210,aprovada,02/2020,1.41
338048902,CLEIDIOMAR,masculino,28,18322,SP,cleidiomar5@hotmail.com,189,cacau show,419,aprovada,01/2020,2.29
338048902,CLEIDIOMAR,masculino,28,18322,SP,cleidiomar5@hotmail.com,3615,cacau show,340,aprovada,05/2020,1.86
338048902,CLEIDIOMAR,masculino,28,18322,SP,cleidiomar5@hotmail.com,4690,carrefour,1212,aprovada,03/2020,6.61
338048902,CLEIDIOMAR,masculino,28,18322,SP,cleidiomar5@hotmail.com,67,renner,214,aprovada,05/2020,1.17
338048902,CLEIDIOMAR,masculino,28,18322,SP,cleidiomar5@hotmail.com,472,renner,323,aprovada,02/2020,1.76
338048902,CLEIDIOMAR,masculino,28,18322,SP,cleidiomar5@hotmail.com,1453,renner,188,aprovada,03/2020,1.03
338048902,CLEIDIOMAR,masculino,28,18322,SP,cleidiomar5@hotmail.com,229,smart fit,101,aprovada,05/2020,0.55
338048902,CLEIDIOMAR,masculino,28,18322,SP,cleidiomar5@hotmail.com,2780,uber,38,aprovada,01/2020,0.21
338048902,CLEIDIOMAR,masculino,28,18322,SP,cleidiomar5@hotmail.com,4569,uber,93,aprovada,05/2020,0.51
338048902,CLEIDIOMAR,masculino,28,18322,SP,cleidiomar5@hotmail.com,3983,uber,63,aprovada,03/2020,0.34
338048902,CLEIDIOMAR,masculino,28,18322,SP,cleidiomar5@hotmail.com,1401,zara,568,aprovada,03/2020,3.10
338048902,CLEIDIOMAR,masculino,28,18322,SP,cleidiomar5@hotmail.com,1606,zara,495,aprovada,02/2020,2.70
